ObjectName,camera_name,X,Y
基準_01,cam01,780,913
基準_02,cam01,1877,483
基準_03,cam01,984,991
基準_04,cam01,1185,1072
基準_05,cam01,789,876
基準_06,cam01,1796,741
基準_101,cam01,1085,2
基準_102,cam01,1641,71
基準_103,cam01,690,212
基準_104,cam01,736,356
基準_105,cam01,1557,777
基準_106,cam01,771,503
