ObjectName,X,Y,Z
基準_01,-0.019984200596809387,-0.29680585861206055,-0.19137631356716156
基準_03,-0.27489858865737915,-0.25127294659614563,-0.17325371503829956
基準_04,-0.4955715835094452,-0.22058524191379547,-0.1742188185453415
基準_104,0.8949035406112671,-1.7494474649429321,-0.20253443717956543
基準_106,0.5714068412780762,-1.247175931930542,-0.22394827008247375
基準_116,-0.3061959743499756,-0.6671600341796875,-0.2225644886493683
基準_117,0.5766143202781677,-0.3286704421043396,-0.16062749922275543
基準_201,0.1393333226442337,0.9600549340248108,0.6441742777824402
基準_202,0.6668291091918945,1.1818205118179321,0.37069737911224365
基準_203,1.2140575647354126,1.1328444480895996,0.3801254332065582
基準_204,0.5563178658485413,0.863976001739502,-0.02870507910847664
基準_205,1.1452940702438354,0.7644569277763367,-0.0305668693035841
基準_206,1.3805803060531616,1.013123869895935,0.1916542649269104
基準_207,2.0622503757476807,0.6692705750465393,0.2868654131889343
基準_208,2.068941831588745,0.3308902084827423,-0.25088199973106384
基準_209,2.7044246196746826,0.28140944242477417,-0.038828227669000626
基準_210,3.5771522521972656,0.22448864579200745,0.16887015104293823
基準_211,3.5987625122070312,0.3950731158256531,0.17482878267765045
基準_212,3.563154458999634,0.23308131098747253,0.9429648518562317
基準_213,3.5839545726776123,0.40019723773002625,0.944350004196167
基準_214,1.2259399890899658,-1.4905471801757812,0.847210168838501
基準_215,0.532658576965332,-1.4898467063903809,-0.22866752743721008
基準_216,0.5834552645683289,-1.0864816904067993,-0.22742372751235962
基準_217,1.991495966911316,-0.6514620184898376,-0.7183138728141785
基準_218,2.039484977722168,-0.21256841719150543,-0.9442529678344727
基準_219,0.1159554272890091,-0.3138182759284973,-0.18465062975883484
基準_220,-0.29479652643203735,-0.551271915435791,-0.22965899109840393
基準_221,-0.28470587730407715,-0.3495248258113861,-0.2400737702846527
