ObjectName,camera_name,X,Y
基準_01,camJVC,419,449
基準_02,camJVC,661,185
基準_03,camJVC,544,443
基準_04,camJVC,652,441
基準_05,camJVC,404,431
基準_06,camJVC,628,280
基準_101,camJVC,263,70
基準_102,camJVC,509,67
基準_103,camJVC,50,201
基準_104,camJVC,143,248
基準_106,camJVC,210,301
基準_107,camJVC,49,84
基準_108,camJVC,993,394
基準_109,camJVC,789,451
基準_110,camJVC,823,495
基準_111,camJVC,800,36
基準_112,camJVC,791,182
基準_113,camJVC,854,188
基準_114,camJVC,491,225
基準_115,camJVC,261,229
基準_116,camJVC,516,363
基準_117,camJVC,105,453
