ObjectName,X,Y,Z
基準_01,-0.019984200596809387,-0.29680585861206055,-0.19137631356716156
基準_02,-0.9777507781982422,-1.420003056526184,0.027316879481077194
基準_03,-0.27489858865737915,-0.25127294659614563,-0.17325371503829956
基準_04,-0.4955715835094452,-0.22058524191379547,-0.1742188185453415
基準_05,0.0017016539350152016,-0.35028183460235596,-0.18735136091709137
基準_06,-0.9324464201927185,-1.1943206787109375,-0.24724137783050537
基準_101,0.44134509563446045,-2.116584539413452,0.4017808139324188
基準_102,-0.532016932964325,-1.975158452987671,0.39824098348617554
基準_103,1.4248631000518799,-2.3289806842803955,-0.15890799462795258
基準_104,0.8949035406112671,-1.7494474649429321,-0.20253443717956543
基準_105,-0.5283870100975037,-2.0371129512786865,-0.8660622239112854
基準_106,0.5714068412780762,-1.247175931930542,-0.22394827008247375
基準_107,1.3147485256195068,-2.299194097518921,0.3510493040084839
基準_108,-1.3153681755065918,-0.3839889168739319,-0.25081610679626465
基準_109,-1.0549958944320679,-0.5207298398017883,-0.47683629393577576
基準_110,-1.004371166229248,-0.3154517710208893,-0.446625292301178
基準_111,-1.4341243505477905,-1.4103426933288574,0.5325400233268738
基準_112,-1.4285420179367065,-1.3431156873703003,0.04467439278960228
基準_113,-1.4608420133590698,-1.043189287185669,0.09115077555179596
基準_114,-0.37827539443969727,-1.5847251415252686,-0.12994782626628876
基準_115,0.45684516429901123,-1.697161316871643,-0.13778968155384064
基準_116,-0.3061959743499756,-0.6671600341796875,-0.2225644886493683
基準_117,0.5766143202781677,-0.3286704421043396,-0.16062749922275543
